symbol,timestamp,close,avg20_vol,prob_up_1d,pred_ret_1d_pct,pred_ret_3d_pct,pred_ret_5d_pct,pred_std_5d,prob_up_5d,D_atr14,D_cpr_width_pct,long_score,short_score,bias,global_hits,actionable
CUB,2025-12-23 00:00:00+05:30,288.6,2309298.5,0.893348623853211,,-0.021030644418439524,0.22204842318546616,4.299225032393559,0.5205956727147578,8.871106399278512,0.6468006468006494,9.0,0.5,LONG,377,True
ASHAPURMIN,2025-12-23 00:00:00+05:30,862.95,764945.4,0.7141130250831066,,0.5107103097919063,0.17773899335281507,7.886625945227415,0.508990149818064,32.02228918348318,0.2221063406531945,8.0,0.5,LONG,377,True
LAURUSLABS,2025-12-23 00:00:00+05:30,1068.4,1495888.0,0.7504669987546699,,0.0020778080773470623,0.16593041480416648,4.364467279288829,0.5151635876451627,23.15884587932641,0.2683139897666405,8.0,0.5,LONG,377,True
BHAGYANGR,2025-11-17 00:00:00+05:30,161.5,858645.95,0.18491484184914841,,0.25897810189066817,0.15675599744661597,6.93241628455825,0.5090201703647925,9.346265658560329,0.0763673890608884,7.5,0.0,LONG,377,True
EGOLD,2025-12-23 00:00:00+05:30,136.5,694877.65,0.3090931312637497,,0.4252977354057858,0.11134618821895591,2.378188672243378,0.5186716209584168,2.742047495324387,-0.0244200244200438,7.5,0.5,LONG,377,True
SHRIPISTON,2025-12-23 00:00:00+05:30,3185.9,366884.3,0.15023847376788554,,0.15799302560905223,-0.012083032043500917,6.014690957474236,0.49919855191918416,108.96047265846975,0.0993962982726064,8.5,0.5,LONG,377,True
MODEFENCE,2025-12-23 00:00:00+05:30,85.22,2379243.25,0.8182897862232779,,0.45515529361692286,-0.07292217346118447,3.8301444737006003,0.49240495188432143,2.0086414352066035,-0.1212547915199772,5.5,3.0,LONG,377,True
NIFTYETF,2025-12-23 00:00:00+05:30,282.31,334670.6,0.5485989492119092,,0.21677377567188563,-0.1367528621191537,2.11165254444956,0.4741820511224839,2.8128458781776158,-0.1121698369404979,7.5,0.5,LONG,377,True
ZUARI,2025-12-23 00:00:00+05:30,321.55,1060768.2,0.016732811326826132,,-0.3392715344744223,-0.16373438989966632,6.99889405878082,0.49066782084174654,13.72573237185764,0.2280619913958477,8.0,0.0,LONG,377,True
HDFCSML250,2025-12-23 00:00:00+05:30,167.35,1465370.65,0.7905789990186459,,-0.022502575040888668,-0.2735829384437692,2.6377194695893964,0.4586959199849212,2.8704494647612813,0.0995916741360535,5.5,1.5,LONG,377,True
KARURVYSYA,2025-12-23 00:00:00+05:30,250.86,1444332.6,0.45482177397071016,,0.35138757574997825,-0.40560012408340307,4.38998676721748,0.46319319224908884,5.600903956265442,-0.3693959446171875,8.5,0.0,LONG,377,True
TDPOWERSYS,2025-12-23 00:00:00+05:30,731.95,708069.45,0.037851827887415083,,-0.027207449868760173,-0.6177755462510709,6.291980078665527,0.46089279544952855,30.72405855218957,-0.0182161805223324,7.0,-0.5,LONG,377,True
JUNIORBEES,2025-12-23 00:00:00+05:30,742.79,302709.0,0.24647015110230364,,-0.16732517128464766,-0.7551145391186284,2.5765181019807124,0.38473225410944645,11.227213079697012,0.2055313973891197,7.0,1.5,LONG,377,True
BHEL,2025-12-23 00:00:00+05:30,281.9,6580744.95,0.02259113469108335,,0.20991988809347875,-0.7972320303445524,5.370551941169767,0.4409957402866429,6.758525306693011,-0.1359820267234217,7.0,0.5,LONG,377,True
FMCGIETF,2025-12-23 00:00:00+05:30,59.25,730998.5,0.5170420865441611,,-0.40704836837134495,-0.8038983705813828,2.07326676906789,0.34910250565536294,0.7191231363808306,0.2700421940928212,5.5,1.5,LONG,377,True
PRECWIRE,2025-12-23 00:00:00+05:30,238.55,347738.9,0.3820967257434666,,-0.24539607898570578,-0.8941515298580089,6.516996174238433,0.4454351327122599,9.660572138773809,0.3772793963529801,6.5,0.0,LONG,377,True
SBILIFE,2025-12-23 00:00:00+05:30,2024.8,685847.4,0.1805469235550031,,0.13012263752701142,-0.9326555730414083,2.936392654654737,0.3753868542070544,31.338059506375387,-0.014816278150915,7.5,0.5,LONG,377,True
BPCL,2025-12-23 00:00:00+05:30,370.0,5611258.15,0.15023847376788554,,0.1679761587329642,-0.9741824440944092,3.7996386154815567,0.39882560938549105,7.556824366426778,-0.1846846846846703,7.5,0.5,LONG,377,True
GRASIM,2025-12-23 00:00:00+05:30,2829.8,463069.5,0.5170420865441611,,-0.33330405146017783,-0.9840676760283408,3.103098288263601,0.37557473223232773,42.70238653324798,0.0694984333404181,7.0,0.5,LONG,377,True
HEG,2025-12-23 00:00:00+05:30,539.0,793182.7,0.6535117056856182,,-0.08749952500083764,-0.9977094099765961,6.058076868178519,0.434593679856923,15.1218789754876,-0.049474335188618,9.0,0.5,LONG,377,True
POONAWALLA,2025-12-23 00:00:00+05:30,470.9,1173706.65,0.3820967257434666,,-0.38171224967599027,-1.2017364720150285,5.0489430898055305,0.4059338323620809,13.6357124680796,0.0212359311955877,5.5,1.5,LONG,377,True
BIOCON,2025-12-23 00:00:00+05:30,401.55,3513903.4,0.4059343434343434,,-0.3472771803964103,-1.2373692528914413,4.149590607454104,0.3827788806273831,8.909481765432893,0.0332046652554665,7.5,0.5,LONG,377,True
UNOMINDA,2025-12-23 00:00:00+05:30,1296.3,650592.9,0.5170420865441611,,-0.2959717131530768,-1.2859712597525794,4.502737774152434,0.38759321972852745,31.62676135920432,0.1414281673480699,7.0,0.5,LONG,377,True
JAINREC,2025-12-23 00:00:00+05:30,421.95,1503530.7,0.02259113469108335,,-0.2932815941346847,-1.5219217842722017,7.8075089242746785,0.42272368784470493,19.766113671672148,-0.2448947347631954,7.0,0.0,LONG,377,True
AVANTIFEED,2025-12-23 00:00:00+05:30,856.9,701199.7,0.016732811326826132,,-0.37310221692430723,-1.6135063397439409,5.041522723268338,0.37446776004425286,27.32457201345113,-0.3384292216127744,9.0,0.5,LONG,377,True
POLYCAB,2025-12-23 00:00:00+05:30,7645.0,311228.95,0.45482177397071016,,-0.645067531763527,-1.6388551850997843,4.433957129010406,0.35583490006201157,177.3420542983171,0.1286243732286976,7.0,1.5,LONG,377,True
MUFIN,2025-12-23 00:00:00+05:30,116.89,518488.8,0.016732811326826132,,-0.5018890590129984,-1.682460393002294,7.21759735599338,0.4078398522626441,4.31827223945401,-0.2167279778709301,7.5,0.5,LONG,377,True
IIFLCAPS,2025-12-23 00:00:00+05:30,335.6,791032.55,0.016732811326826132,,-0.3314582139080279,-1.72217744761632,6.570590702148752,0.39662072612481925,13.215093266784097,-0.2781088597536592,7.5,0.5,LONG,377,True
SANGHVIMOV,2025-12-23 00:00:00+05:30,365.25,379629.35,0.016732811326826132,,-0.4803958061267064,-2.004020184291747,6.761419263490721,0.3834660177907614,15.39186412746969,-0.6981519507186734,6.5,1.0,LONG,377,True
EPACKPEB,2025-12-23 00:00:00+05:30,311.4,1351211.9,0.02259113469108335,,-2.774089941848079,-3.6884533243796374,10.823981779698022,0.3666396461583388,15.550262533461032,1.562834510811392,8.2,-0.3,LONG,377,True
ACMESOLAR,2025-12-23 00:00:00+05:30,235.94,1076004.45,0.7516264829697665,,-0.3173468924632536,-0.8640727828063804,5.410018002969725,0.43655192482524097,7.5495104369711985,0.2656042496680181,3.5,4.0,SHORT,376,True
APOLLO,2025-12-23 00:00:00+05:30,262.25,2708438.7,0.8673066064370413,,-1.8574207873213708,-2.759077693405931,7.972228176748479,0.36463905035185706,11.119096364094595,1.1757229107086258,6.2,0.7,LONG,375,True
POLICYBZR,2025-12-23 00:00:00+05:30,1914.0,1411131.9,0.8092457420924575,,0.3581571502657802,1.3711257183271104,5.9715903615575,0.5908018159038272,57.19231342401873,0.550330895158456,7.5,0.5,LONG,368,True
SANDHAR,2025-12-23 00:00:00+05:30,580.95,220757.55,0.016732811326826132,,-2.656555277423424,-3.5223526931708204,4.770554815741807,0.23014995867327837,22.215891110377317,1.2680379837622493,7.2,0.2,LONG,368,True
STAR,2025-12-23 00:00:00+05:30,970.85,266454.8,0.015999999999999997,,-2.87527642391987,-3.754115296546261,6.330414254667155,0.27658102982639954,31.980231612698688,1.3287325539475576,7.2,0.2,LONG,368,True
BORANA,2025-11-19 00:00:00+05:30,308.95,423020.15,0.3736292889989388,,-2.520922581207739,-0.9997283891844639,4.651110794403125,0.41490551931751396,13.002164693577342,2.38765711819604,7.2,-0.3,LONG,367,True
GMRAIRPORT,2025-12-23 00:00:00+05:30,104.89,25748425.85,0.12370097217566206,,-0.9927348416563572,-0.035246055384778936,4.515716871377897,0.4968861901332474,2.9552764048449034,1.0487177042616291,8.2,0.2,LONG,366,True
NLCINDIA,2025-12-23 00:00:00+05:30,251.89,1017797.7,0.1390887290167866,,-2.6634084863565812,-3.3086988142071747,5.761338546630717,0.28288458765021596,7.160311654578294,1.400082046395904,6.7,1.2,LONG,366,True
MOSILVER,2025-12-23 00:00:00+05:30,211.17,282400.6,0.8182897862232779,,5.562031248521301,5.427817499815097,6.152877478170472,0.8111546805342393,7.823621615732701,-2.506669192277952,8.0,0.5,LONG,298,True
CANHLIFE,2025-12-23 00:00:00+05:30,141.09,1549343.15,0.844671201814059,,4.879652951739173,4.498560468671704,4.531905472949084,0.8395578132963971,5.498874995221142,-1.9018593332860847,6.0,1.5,LONG,298,True
BELRISE,2025-12-23 00:00:00+05:30,168.23,11595965.9,0.8182897862232779,,3.7861195472298705,3.5263771504480395,4.161088575875373,0.8016320730724107,6.525525086100805,-1.0877964691196482,7.5,0.5,LONG,298,True
GOLDIETF,2025-12-23 00:00:00+05:30,117.26,6606917.75,0.6905353512536708,,2.638196202515733,2.7048469865445264,2.2269189490841197,0.887743268306165,2.178166573975121,-0.8101654443118003,8.0,0.5,LONG,298,True
DCBBANK,2025-12-23 00:00:00+05:30,176.16,1488815.0,0.6133596577821651,,0.36778865057458004,1.6682208167641286,4.592246705592552,0.6417979641736142,5.337423407669172,0.6641689373297093,9.0,0.5,LONG,298,True
GLENMARK,2025-12-23 00:00:00+05:30,2047.0,663970.5,0.5945374449339207,,1.2854457841745062,1.6247980699314812,4.0911487736465615,0.6543713788313437,43.04088828215619,-0.407099820876064,7.5,0.5,LONG,298,True
HDFCNIFBAN,2025-12-23 00:00:00+05:30,60.78,257849.7,0.8817879571481345,,1.2844753483128144,1.5383943331336227,2.41244604343149,0.7381625344874678,0.5856646227435722,-0.0493583415597254,8.0,0.5,LONG,298,True
HINDCOPPER,2025-12-23 00:00:00+05:30,407.8,18462549.1,0.8986710963455149,,1.5820530932546855,1.5348244486162845,5.841544970870087,0.6036255682516856,14.996790259316493,-0.2125224783390569,8.0,0.5,LONG,298,True
NIFTYBEES,2025-12-23 00:00:00+05:30,295.68,5652567.75,0.8047638436482085,,0.957652271191086,1.4794552398717582,1.8864766363735352,0.7835511657094263,3.3091321486168863,-0.1003336940836797,8.0,0.5,LONG,298,True
