symbol,timestamp,close,avg20_vol,bias,prob_up_1d,pred_ret_1d_pct,pred_ret_3d_pct,pred_ret_5d_pct,prob_up_5d,global_hits,actionable,hit_rate_1d_%,mae_1d_%,rmse_1d_%,pearson_r_1d,hit_rate_5d_%,mae_5d_%,rmse_5d_%,pearson_r_5d,D_atr14,D_cpr_width_pct,long_score,short_score,notes
TOP10ADD,2025-12-23 00:00:00+05:30,102.24,407610.5,LONG,0.938489871086556,,1.0421004576034965,0.8920088640183725,0.6882286433882554,298,True,49.16943521594684,0.7418703647367051,1.127572921525658,0.5161742854029575,70.3125,1.315896047751493,1.707970246554278,0.5092565746269917,1.022720833235394,0.0097809076682505,6.5,0.0,
NTPCGREEN,2025-12-23 00:00:00+05:30,90.48,3041022.65,SHORT,0.938489871086556,,1.1337083230724487,0.630900136968701,0.5610513495759293,41,True,44.53125,1.4207461110075383,2.006974305442204,0.7199290847939691,60.37735849056604,3.3674254217076145,4.477389002890249,0.5164557769455097,1.3430938414983278,-0.0957854406130339,1.5,5.0,
ATHERENERG,2025-12-23 00:00:00+05:30,706.35,2344469.3,LONG,0.9362680683311432,,0.3084959283853439,0.9760472364774164,0.5697290452044859,231,True,58.86075949367088,1.987516638900388,2.7916424335028047,0.7595397571782859,56.25,3.579111288960107,4.564990827267715,0.5859705965527687,31.75244597294657,0.6937070857223562,6.5,0.0,
OLECTRA,2025-12-23 00:00:00+05:30,1197.7,280107.05,SHORT,0.9362680683311432,,0.3604443338335716,0.7053372097260442,0.5426294409589081,92,True,44.74226804123711,2.018454151281931,2.8768191398930694,0.5811567100367586,61.61616161616162,4.592322788119984,6.5891967542048535,0.3869824845768571,39.81973649715113,0.3172747766552331,2.0,5.0,
LIQUID1,2025-12-23 00:00:00+05:30,1083.55,389689.95,LONG,0.9282178217821784,,0.7177358425566296,0.9649770000110662,0.7005789460400176,377,True,96.66666666666669,0.8326870192420602,0.845023076936831,-0.0382599872198326,49.03846153846154,1.2530391917432302,1.8729194280946893,0.0806522777001713,1.2245375982476083,-0.0261486164305572,6.5,0.5,
MANAPPURAM,2025-12-23 00:00:00+05:30,294.8,2444234.85,LONG,0.9282178217821784,,0.4316497917689872,0.7491822325611125,0.5632017430745765,575,True,48.6652977412731,1.5869314507841623,2.224715768759792,0.7178674130121522,61.92893401015228,3.526969450909232,4.980143705002073,0.4132413595758097,6.561213114666137,0.0508819538670593,9.0,0.5,
GROWWLIQID,2025-12-23 00:00:00+05:30,107.14,257058.65,LONG,0.9254460093896714,,1.6050260711201618,4.694532213824892,0.9899131405313892,231,True,100.0,0.5992405927020094,0.646892612871954,-0.1200808029097124,57.377049180327866,1.341189003883472,1.9900931037129288,0.3137613924840866,0.102897701417335,-0.0031111940763101,7.5,0.5,
PROSTARM,2025-12-23 00:00:00+05:30,178.88,5675321.35,LONG,0.9254460093896714,,2.480886669572393,3.668894427185712,0.6647257036516552,129,True,46.09929078014184,2.931935252036239,3.9552487216027874,0.7837683597827412,78.57142857142857,5.705354814203686,7.60500177074334,0.7206050061390105,9.129851173746411,-0.4006410256410426,4.0,2.0,
HDFCSILVER,2025-12-23 00:00:00+05:30,202.77,6458210.9,LONG,0.9254460093896714,,1.4175038225941523,1.7342008732134533,0.6811121226892827,469,True,54.428754813863925,1.0499308303079775,1.4643578764750529,0.7011188118914423,60.49382716049383,2.72470114086361,3.9709587945757217,0.2890681762088556,5.899354241756127,-0.1380874882872365,8.0,0.5,
LIQUIDADD,2025-12-23 00:00:00+05:30,1105.7,522941.1,LONG,0.9254460093896714,,-0.188788583370393,0.8160599199840691,0.7107436533639457,298,True,100.0,0.8398857616285272,0.8436076535929519,0.1495260867124541,65.88235294117646,1.0420738665981415,1.4162042610865644,0.1194608654387185,0.4485211018329183,-0.0006029362997793,7.5,0.5,
CASTROLIND,2025-12-23 00:00:00+05:30,185.93,1059408.7,LONG,0.9189944134078212,,2.2071145025872805,3.3653801785986315,0.7937155917624847,92,True,48.60681114551084,1.3442189138433724,1.9347097885965951,0.6730520273989051,58.58585858585859,2.962427121507777,4.310979283546757,0.4031283982756528,2.9860804612737164,-0.4948098746840294,4.0,3.5,
