symbol,horizon,rows,hit_rate_%,mae_%,rmse_%,mean_pred_%,mean_real_%,pearson_r,wilson_low,wilson_high,stability_qtr_std,start_date,end_date
SHEMAROO,1d,969,46.83937823834197,2.263274922018553,3.2770410162589454,0.45594448119745107,0.04862577086588394,0.7300997461147976,0.4370971130227594,0.4999410983835219,0.48778301339599023,2021-12-27,2025-12-23
SHILCTECH,1d,22,40.90909090909091,1.8664262431408956,2.3843411145002653,0.4193603083063699,-0.14831610820075777,-0.021580496634226468,0.23255559668820378,0.6126552261710619,0.0,2025-11-24,2025-12-23
SHILPAMED,1d,976,43.8974358974359,1.933951671306492,2.7160692265712543,0.4361812786560592,0.05686883717246384,0.723058846713999,0.4081236507673399,0.4703040744131183,0.5523480223625191,2021-12-27,2025-12-23
SHIVALIK,1d,972,41.70957775489187,1.950605287084014,2.717241284765106,0.44418660249633973,-0.06531073749006765,0.6553568077501323,0.38646755853114984,0.4483774049993356,0.348809432287049,2021-12-27,2025-12-23
SHIVAMAUTO,1d,973,44.03292181069959,2.4402341442482,3.2113602580338143,0.4450860468656818,0.049352836756229014,0.6723521322548437,0.40941586174721734,0.4717123869357658,1.169728933572956,2021-12-27,2025-12-23
SHIVAMILLS,1d,971,44.490216271884655,2.0593270227079348,3.2683945501430984,0.4388245230351134,-0.0034240297083935416,0.6563222421264768,0.41392201930106437,0.47631655894590424,1.8328089911532262,2021-12-27,2025-12-23
SHIVATEX,1d,970,46.43226473629783,2.107057290678684,3.1332931143930014,0.4375895573256392,0.038091581196192284,0.7238535834786094,0.43309141377599886,0.49583623003324867,0.7460827762083062,2021-12-27,2025-12-23
SHIVAUM,1d,88,57.47126436781609,4.294060093533402,5.964474620848623,0.6036532140198468,1.947474889311812,0.5381910153352514,0.4698369712299657,0.6732692708441501,3.219752684180853,2021-12-27,2025-12-23
SHK,1d,965,47.71784232365145,1.7504080819411623,2.548468588525009,0.4660378085150965,0.05018012982802396,0.7032390780717871,0.4458007368933995,0.508737278418197,0.5628690675870507,2021-12-27,2025-12-23
SHOPERSTOP,1d,964,48.85892116182573,1.4880602796007896,2.0953055149473303,0.46845159996959995,0.045499022629815374,0.6714986581038684,0.45714170512594865,0.5201273025298495,0.38339177371252525,2021-12-27,2025-12-23
SHRADHA,1d,969,45.90673575129534,2.813447534798762,5.140710447926789,0.45014713515962895,0.27840007444665865,0.5154516715071837,0.4278502139696782,0.4906091089991124,0.6784997781309957,2021-12-27,2025-12-23
SHREDIGCEM,1d,955,48.21802935010482,1.4179344737579613,1.9930065789511457,0.460188931963867,0.05370903675507489,0.7392340003490332,0.45060681757535864,0.513896707850975,0.3734806091306043,2021-12-27,2025-12-23
SHREECEM,1d,961,49.63579604578564,1.225283880690811,1.6273708845679187,0.5092122275315848,0.011626388828452208,0.14654539125969138,0.4648233895090159,0.5279215335954605,0.25039874303582665,2021-12-27,2025-12-23
SHREEJISPG,1d,76,43.421052631578945,1.7923151348294095,2.525332026171556,0.5159970967130747,0.4625726919381734,0.6894915931857232,0.32860752483199596,0.5461444841457801,0.6686131371646149,2025-08-26,2025-12-23
SHREEPUSHK,1d,974,47.73662551440329,2.106904882119934,2.945251815946141,0.47674344067241026,0.11535843253160614,0.7278029385103919,0.44611580838274506,0.5087949066349383,0.40978338942903497,2021-12-27,2025-12-23
SHRENIK,1d,630,42.99363057324841,3.7350226512497464,4.5303251017456025,0.48728520548271453,-0.1347830568104853,0.4000596799762588,0.39175741778937495,0.4689671688791824,3.265294304040756,2021-12-27,2025-12-23
SHREYANIND,1d,958,49.11180773249739,1.8232383202036453,2.748124801083133,0.48624360623437674,0.10299242790312778,0.6801978370279236,0.45954304843883903,0.5227641289356628,0.3973708315367287,2021-12-27,2025-12-23
SHRINGARMS,1d,66,54.54545454545455,1.606702100967227,2.0974771625536186,0.5249796173511861,0.344314240934273,0.7402551473853621,0.4261479973870641,0.659760687408244,0.3382110500867559,2025-09-17,2025-12-23
SHRIPISTON,1d,965,49.119170984455955,1.9300950573863578,2.483804118426508,0.5137431120184797,0.24059284315601398,0.5856407679862907,0.45974679335122537,0.5227064786800333,0.4682082275867487,2021-12-27,2025-12-23
SHRIRAMFIN,1d,967,52.430196483971045,1.477794683529581,1.9858292580410304,0.5155654365204992,0.1665409228217975,0.7064533554280834,0.49279056559221035,0.5556210393493167,0.2947331209066182,2021-12-27,2025-12-23
SHRIRAMPPS,1d,971,46.44696189495366,1.90250840519782,2.6898466865311543,0.4746557457066308,0.04942507927383125,0.7321993672091327,0.433301002443737,0.4959182676407568,0.4859178894616457,2021-12-27,2025-12-23
SHYAMCENT,1d,873,43.184421534937,2.0712664182129266,2.922553065632981,0.4427104519051608,-0.1375226712375907,0.5818722071020999,0.39935513115177235,0.46493050493118726,0.3772349766465608,2022-04-11,2025-12-04
SHYAMMETL,1d,975,49.48665297741273,1.4499330893423212,2.0118372495569856,0.4961154719707816,0.1205598656802189,0.6990270832092863,0.46354886018385943,0.5262245346072805,0.39748917766016445,2021-12-27,2025-12-23
SHYAMTEL,1d,815,47.896039603960396,2.9571685967565142,3.48992871500542,0.4831906864007773,0.04238489435724492,0.6467544110213475,0.44469566158392126,0.5134242475215003,1.357820250787676,2021-12-27,2025-12-23
SIEMENS,1d,962,53.53430353430353,1.413131028371438,2.074192553858235,0.5586220671684645,0.07870377867785941,0.16007277751531127,0.5037474546694833,0.5666574647293083,0.25105889535570936,2021-12-27,2025-12-23
SIGACHI,1d,976,46.35897435897436,1.949057218683966,2.868061088583239,0.466738945160592,0.029354885012571847,0.6435587260514491,0.4324920057904216,0.4949732756197678,0.31292342871623796,2021-12-27,2025-12-23
SIGIND,1d,975,46.09856262833676,2.1219327785052418,3.1573438925486568,0.4502920090190481,0.07934783821770236,0.680354746651188,0.4298945923880616,0.4923832080246022,0.47982243115422823,2021-12-27,2025-12-23
SIGNATURE,1d,536,55.59701492537314,1.4371354876101465,2.101583390706115,0.5418544206053351,0.19491343940641284,0.5350895040541043,0.5136563880094851,0.5974873252575177,0.5776771928561367,2023-09-27,2025-12-23
SIGNPOST,1d,451,43.68070953436807,2.545333694356834,3.4827927306932756,0.4298418078696035,-0.01833492605491178,0.7375595281890971,0.39175506569892143,0.482926581714156,0.4749609788172755,2024-02-14,2025-12-23
SIL,1d,939,46.538871139510114,1.9365499770715475,2.551377535623856,0.4685609093698547,0.04334894651823079,0.6609769259123621,0.4336901095046349,0.49736936008177285,0.6042051673542324,2021-12-27,2025-12-23
SILGO,1d,957,46.282722513089006,2.433502246534446,3.489793519819685,0.4415807759605164,0.17326694388889513,0.6425845378470117,0.4314149280209947,0.49453738777339706,0.30136628400488197,2021-12-27,2025-12-23
SILINV,1d,963,47.71309771309771,1.876948210457848,2.7621129870840484,0.48532033147253173,0.10204064854014154,0.6870983093366382,0.44572123878357894,0.508722636899556,0.32584371079998947,2021-12-30,2025-12-23
SILVER,1d,930,53.11827956989247,1.0233015487377748,1.3893228440464829,0.5491980006311686,0.14462028425645326,0.6970413688937107,0.4990473880694737,0.5630616462678271,0.24018189551644506,2022-02-04,2025-12-23
SILVER1,1d,717,54.39330543933055,1.078833633620163,1.6789088286083584,0.5376607301475919,0.1754590949155367,0.6524734384307158,0.5073382255989174,0.5800596160350837,0.24537492770001396,2022-12-14,2025-12-23
SILVER360,1d,173,61.84971098265896,1.3221816109883229,1.783907538929221,0.531424042054795,0.4779629321798273,0.760304450917908,0.5442818679205801,0.6875640325915167,0.2863351110482742,2025-04-04,2025-12-23
SILVERADD,1d,785,53.63057324840764,1.087055042550144,1.4490359435443416,0.5488639520506599,0.18303653185108967,0.7291722369663335,0.5013281559833374,0.5709296965437098,0.23146640872561594,2022-08-25,2025-12-23
SILVERAG,1d,601,55.74043261231281,1.0276082084752625,1.4215655916795447,0.5401677881497287,0.19485025925438101,0.7032934560796211,0.5174536549357668,0.5966257999165449,0.28687277358788366,2023-06-15,2025-12-23
SILVERBEES,1d,932,52.682403433476395,1.0487647990390243,1.3995550654986362,0.5538632686512988,0.14307663999469816,0.7281761969489836,0.49472485362064733,0.558702991433473,0.2400091399764118,2022-02-07,2025-12-23
SILVERCASE,1d,178,62.359550561797754,1.4733459600017758,2.0553818304704743,0.49268102976778144,0.46078506372551964,0.336236066621969,0.5505172707444252,0.6914515636697021,0.2823834385750048,2025-03-26,2025-12-23
SILVERETF,1d,642,54.82866043613707,1.0497931645202754,1.4884414209443004,0.5514570686964912,0.1572995745041611,0.7318571500257913,0.5096162433475722,0.5863825278681563,0.3021499835904328,2023-04-20,2025-12-23
SILVERIETF,1d,935,52.72727272727273,1.0105994593866916,1.329979274902372,0.5411830538027925,0.14329544672293323,0.7097888017041379,0.4952247618775446,0.5590975007916851,0.23991090076362104,2022-01-31,2025-12-23
SILVERTUC,1d,948,50.949367088607595,1.5559132172978505,2.3400807510017554,0.49137451729274934,0.22005652684344762,0.6191083008118246,0.47769643286960173,0.5412142766434097,0.4336257649646739,2021-12-29,2025-12-23
SIMPLEXINF,1d,971,49.3801652892562,2.454823320942199,3.2195723709439816,0.5034373634432431,0.2497244046231541,0.7459072754775713,0.462392484228201,0.5252598245431048,0.5667946948010263,2021-12-27,2025-12-23
SINCLAIR,1d,421,43.46793349168646,1.8248141803532518,2.6226951488337886,0.4291856740657448,-0.07445354715303751,0.7396370490639513,0.3881279306576074,0.4824120541273099,0.3757719519194392,2024-04-10,2025-12-23
SINDHUTRAD,1d,608,43.65733113673806,2.6913059518298064,3.9699867580640924,0.4313935622032884,0.06132317496942985,0.6592256786222643,0.3976388115206584,0.47630559567099306,0.428473840045344,2023-06-20,2025-12-23
SINTERCOM,1d,922,48.313384113166485,1.4513000416719235,2.0676826372201393,0.4606546622925066,0.042621107843339494,0.6923366648097788,0.45096247285537167,0.5154456301170127,0.35101101741465357,2021-12-27,2025-12-22
SIRCA,1d,960,48.958333333333336,1.5389317162893363,2.1598193917928703,0.4830078792292659,0.09330063270523216,0.7196991295601486,0.4580654067616784,0.5211842956790546,0.389429410219762,2021-12-27,2025-12-23
SIS,1d,952,47.16386554621849,1.2337466186850292,1.7065666131819435,0.46659142217510663,-0.013418880464833704,0.6282825765297763,0.44010538010829614,0.5033999036123536,0.26129301047227327,2021-12-27,2025-12-23
SIYSIL,1d,972,47.73662551440329,1.827606341965889,2.6508398852982706,0.4401855364912716,0.08522410706665748,0.6784294348602596,0.44611580838274506,0.5087949066349383,0.40850473751432415,2021-12-27,2025-12-23
SJS,1d,975,50.256410256410255,1.7515091556859066,2.3863203372593587,0.5058877763055845,0.2003890533014057,0.677324748279895,0.47123097968415567,0.5338770990897748,0.615408884818566,2021-12-27,2025-12-23
SJVN,1d,966,48.4472049689441,1.7077725338376653,2.6068147158350548,0.48780814547675466,0.1382278997331198,0.6828293854407672,0.45308020238100893,0.5159869112589918,0.480426065030723,2021-12-27,2025-12-23
SKFINDIA,1d,957,47.12643678160919,1.3415146783677838,2.4832590794494416,0.4979736955087628,-0.03400632582051568,0.18735070420121058,0.4398157948692327,0.5029427201659199,0.4659819092643483,2021-12-27,2025-12-23
SKIPPER,1d,980,49.183673469387756,2.2269101942735374,3.332955668302943,0.45833605096139374,0.24416120716456363,0.7115881444991826,0.46062898407688646,0.5231082354104784,0.5318259604999974,2021-12-27,2025-12-23
SKMEGGPROD,1d,978,48.5655737704918,2.226183175271853,2.9526086803578404,0.48968359102789716,0.23822512286892794,0.7485470077374531,0.45441733000085544,0.5170066226053617,0.6223332652860347,2021-12-27,2025-12-23
SKYGOLD,1d,713,50.28089887640449,2.6512910205483347,3.6227634007315777,0.4933125389343,0.45076966505933763,0.7404727137186747,0.46616611771432165,0.5394217106544125,0.6108897496728506,2023-01-06,2025-12-23
SMALL250,1d,29,41.37931034482759,0.8197596062959643,1.0314917106558412,0.4648579289000121,-0.08879187825141369,-0.20332213426184792,0.2551293527964552,0.5926247152148476,0.0,2025-11-13,2025-12-23
SMALLCAP,1d,430,55.116279069767444,0.9982201183857953,1.3702247801856273,0.5776526588545748,0.0073305468382737875,0.40504461972626365,0.5039044350615735,0.5975150691998897,0.1936573603190387,2024-03-01,2025-12-23
SMARTLINK,1d,971,44.31818181818182,1.939849626564629,2.7877846159037776,0.4516238240715409,0.017087842061540348,0.7010493779407164,0.41217316148872774,0.47463966891490994,1.809358689320266,2021-12-27,2025-12-23
SMARTWORKS,1d,109,49.54128440366973,1.4452912753645177,1.9043592975504329,0.5442580564069813,0.0738931623741013,0.7758870065507394,0.40331743223547967,0.5878205877855055,0.5325667268170746,2025-07-17,2025-12-23
SMCGLOBAL,1d,967,47.67321613236815,1.4270377484580419,2.141248474702875,0.47718315613073664,0.11845636432098164,0.635922073127774,0.4454059090885537,0.5082425542653033,0.4383032074672683,2021-12-27,2025-12-23
SML100CASE,1d,64,51.5625,0.724764932414487,0.9389629022369246,0.4566021956154561,-0.023305851772885584,-0.0510403615571957,0.3958139224399903,0.6336665143421609,0.11503615605244177,2025-09-12,2025-12-23
SMLMAH,1d,978,48.466257668711656,2.200910320148843,3.202372605190088,0.4911028795570731,0.23409293225222594,0.4964371005015606,0.45346166760105605,0.5159835056325897,0.43871716793428944,2021-12-27,2025-12-23
SMLT,1d,962,44.84911550468262,2.1577073133559033,3.1216396715970727,0.4298721138130624,0.023034044066959327,0.7142038227211961,0.4173135266300168,0.48007895727614974,0.4053067404104235,2021-12-27,2025-12-23
SMSLIFE,1d,884,45.92760180995475,1.9097821764461882,2.8781329261080018,0.4469672224024737,0.11811507767384848,0.6224202654365006,0.42667144527885165,0.49223300794794006,0.3199944483607327,2022-03-28,2025-11-19
SMSPHARMA,1d,972,48.71266735324408,1.8443054678218744,2.777575114865063,0.45907543673906914,0.13498334659057115,0.6951897606018208,0.45580010010916894,0.5185547078924593,0.4476167104625522,2021-12-27,2025-12-23
SNOWMAN,1d,962,46.72216441207076,1.8721585501129931,2.547088493713501,0.4658047901173069,0.03304194741680883,0.7183360690347127,0.4358698464848902,0.4988344614553975,0.406977535811063,2021-12-27,2025-12-23
SNXT30BEES,1d,123,51.21951219512195,0.64645785866976,0.8207827134227341,0.5463239623987606,0.052122458827611656,0.26109230448485926,0.4248356555093271,0.5988158909864598,0.19687144309265864,2025-06-13,2025-12-23
SOBHA,1d,972,47.325102880658434,1.906390874780403,2.6436950102040786,0.49258866157464376,0.09584672410738532,0.6152623511976011,0.44202949857212687,0.5046831646305897,0.40528285861561925,2021-12-27,2025-12-23
SOFTTECH,1d,944,48.990435706695,2.174360061062156,2.882292629582463,0.5076995383755972,0.15584701917270502,0.7287906943600957,0.45806980329213265,0.5218210059186388,0.40650854999049196,2022-01-06,2025-12-23
SOLARA,1d,966,45.445134575569355,2.0608856929356967,3.0590274434238354,0.462442138886074,-0.0019999622520733683,0.6620350890059171,0.42329362020836164,0.48596991313564003,0.5808007834026131,2021-12-27,2025-12-23
SOLARINDS,1d,971,50.56642636457261,1.6054403168126292,2.18699387639807,0.47036203977155494,0.19615601617410577,0.257412061602313,0.47425628054953844,0.537027603929745,0.3321315757729004,2021-12-27,2025-12-23
